round,round_time,accuracy
1,31.31223607,11.35
2,53.44794965,20.79
3,77.97003984,24.31
4,91.32844257,12.75
5,109.6900158,15.46
6,174.9759114,9.74
7,188.7797875,63.14
8,236.4316452,46.65
9,299.756438,53.19
10,350.5770714,37.01
11,401.5986071,11.35
12,419.5312691,68.28
13,468.6793096,50.31
14,565.4388561,74.87
15,619.6075091,54.53
16,670.8337891,11.35
17,697.1688855,49.13
18,727.3435984,53.93
19,738.620832,61.93
20,777.59026,62.81
21,816.0648761,11.35
22,900.8488731,71.52
23,924.9242935,56.84
24,962.7617044,67.6
25,1041.057281,61.8
26,1061.348201,17.54
27,1102.56274,56.06
28,1130.259579,53.17
29,1229.237563,60.12
30,1270.50228,75.01
31,1300.554116,45.82
32,1406.976917,57.55
33,1421.220948,69.54
34,1436.45005,81.56
35,1493.841395,83.77
36,1592.912628,69.84
37,1644.386774,51.6
38,1723.46287,64.26
39,1750.096991,76.16
40,1779.186496,77.58
41,1863.915184,40.58
42,1915.148999,50.54
43,1993.786183,65.21
44,2045.222664,71.66
45,2083.920741,57.97
46,2107.669319,56.45
47,2130.121111,59.15
48,2143.383308,75.54
49,2221.144517,65.68
50,2299.258932,38.02
51,2363.040082,76.08
52,2402.386121,73.29
53,2431.420143,62.73
54,2454.96364,76.28
55,2536.655076,50.22
56,2615.460009,82.07
57,2634.443065,61.92
58,2662.81879,64.12
59,2713.809675,65.34
60,2791.808556,74.67
61,2898.195033,69.96
62,2937.543238,74.98
63,2981.776554,66.66
64,3019.907953,77.75
65,3039.490854,73.4
66,3128.80909,68.79
67,3227.838172,81.21
68,3251.662414,73.81
69,3358.177519,53.41
70,3409.101065,77.36
71,3517.627,43.82
72,3569.839577,72.92
73,3648.446639,73.18
74,3745.774606,77.66
75,3758.537607,72.65
76,3795.986947,40.28
77,3893.447346,76.63
78,3955.724494,79.63
79,4045.102781,79.3
80,4074.599028,80.87
81,4162.752868,62.04
82,4227.387951,82.41
83,4332.259507,68.82
84,4351.538384,79.5
85,4374.034656,85.99
86,4397.065085,74.94
87,4412.301143,79.04
88,4486.204225,83.77
89,4497.563563,77.72
90,4581.780182,87.51
91,4610.785694,80.18
92,4626.136401,72.52
93,4670.34962,76.69
94,4758.384199,75.46
95,4782.414255,84.3
96,4833.052324,62.37
97,4872.386264,77.03
98,4972.522976,66.92
99,5000.514773,76.66
100,5039.151248,86.41
